"35","1545 Peachtree St. NE, ATLANTA, GA, 30309","Tie"
"36","171 17th St., ATLANTA, GA, 30363","No_Match"
"66","349 Ferst Dr. NW, ATLANTA, GA, 30332","Match","Exact","349 FERST DR NW, ATLANTA, GA, 30332","-84.40247,33.7765","17372989","L"
"126","35 Howard St. SE, ATLANTA, GA, 30317","Match","Exact","35 HOWARD ST SE, ATLANTA, GA, 30317","-84.32316,33.750816","23366638","R"
"300","1440 Spring St. NW, ATLANTA, GA, ","Match","Exact","1440 SPRING ST NW, ATLANTA, GA, 30309","-84.38913,33.79398","638967785","L"
"69","Auburn Ave. NE and Courtland St. NE, ATLANTA, GA, 30303","Match","Exact","AUBURN AVE NE & COURTLAND ST NE, ATLANTA, GA, 30303","-84.38427,33.755573","",""
"127","10 Peachtree Center Ave. NE, ATLANTA, GA, 30303","Match","Exact","10 PEACHTREE CENTER AVE NE, ATLANTA, GA, 30303","-84.38653,33.754406","17406943","R"
"68","755 Battery Avenue Southeas, ATLANTA, GA, 30339","No_Match"
"128","3181 Rainbow Dr., DECATUR, GA, 30324","Match","Non_Exact","3181 RAINBOW DR, DECATUR, GA, 30034","-84.25856,33.711246","23370795","R"
"302","767 Clifton Rd. NE, ATLANTA, GA, 30307","Match","Exact","767 CLIFTON RD NE, ATLANTA, GA, 30307","-84.33029,33.774723","23365075","R"
"121","248 Oakland Ave. SE, ATLANTA, GA, 30312","Match","Exact","248 OAKLAND AVE SE, ATLANTA, GA, 30312","-84.37508,33.74873","17407963","L"
"301","6500 Vernon Woods Dr., SANDY SPRINGS, GA, 30328","Match","Non_Exact","6500 VERNON WOODS DR NE, SANDY SPGS, GA, 30328","-84.376564,33.93084","17417313","L"
"122","20 North Main St., ALPHARETTA, GA, 30009","Match","Exact","20 N MAIN ST, ALPHARETTA, GA, 30009","-84.29451,34.076458","17420769","L"
"304","6400 Sugarloaf Pkwy., DULUTH, GA, 30097","No_Match"
"123","80 Forsyth St. NW, ATLANTA, GA, 30303","Match","Exact","80 FORSYTH ST NW, ATLANTA, GA, 30303","-84.38891,33.756958","17344512","L"
"303","1000 Chastain Rd., KENNESAW, GA, 30144","Match","Exact","1000 CHASTAIN RD, KENNESAW, GA, 30144","-84.5814,34.03185","640540957","R"
"124","395 17th St. NW, ATLANTA, GA, 30363","Match","Non_Exact","395 17TH ST, ATLANTA, GA, 30363","-84.40013,33.791206","619858602","L"
"129","3230 Peachtree Rd. NE, ATLANTA, GA, 30305","Tie"
"70","4484 Peachtree Rd. NE, ATLANTA, GA, 30319","Match","Exact","4484 PEACHTREE RD NE, ATLANTA, GA, 30319","-84.33247,33.871437","23357862","L"
"71","592 N. Angier Ave. NE, ATLANTA, GA, 30308","Tie"
"120","100 Ivan Allen Jr. Blvd., ATLANTA, GA, 30313","No_Match"
"72","4484 Peachtree Rd. NE, ATLANTA, GA, 30319","Match","Exact","4484 PEACHTREE RD NE, ATLANTA, GA, 30319","-84.33247,33.871437","23357862","L"
"73","690 Miami Circle NE, ATLANTA, GA, 30324","Match","Exact","690 MIAMI CIR NE, ATLANTA, GA, 30324","-84.3648,33.829025","618357305","L"
"74","1411 N. Morningside Dr. NE, ATLANTA, GA, 30306","Match","Exact","1411 N MORNINGSIDE DR NE, ATLANTA, GA, 30306","-84.35706,33.793034","17356379","R"
"75","113 Clairemont Ave., DECATUR, GA, ","Match","Exact","113 CLAIREMONT AVE, DECATUR, GA, 30030","-84.29653,33.776012","23367094","R"
"76","569 Ezzard St., ATLANTA, GA, 30312","Match","Non_Exact","569 EZZARD ST SE, ATLANTA, GA, 30312","-84.368286,33.753475","17357467","R"
"134","1788 Ponce de Leon Ave., ATLANTA, GA, 30307","Match","Non_Exact","1788 PONCE DE LEON AVE NE, ATLANTA, GA, 30307","-84.33017,33.773552","23365078","L"
"135","10 Peachtree Center Ave., ATLANTA, GA, 30303","Match","Non_Exact","10 PEACHTREE CENTER AVE NE, ATLANTA, GA, 30303","-84.38653,33.754406","17406943","R"
"132","2 Galleria Pkwy., ATLANTA, GA, 30339","Match","Exact","2 GALLERIA PKWY, ATLANTA, GA, 30339","-84.465294,33.88287","17226423","L"
"59","5343 Roberts Dr., DUNWOODY, GA, 30338","Match","Exact","5343 ROBERTS DR, DUNWOODY, GA, 30338","-84.3359,33.956806","642649074","L"
"133","1374 West Peachtree St. NW, ATLANTA, GA, 30309","Match","Exact","1374 W PEACHTREE ST NW, ATLANTA, GA, 30309","-84.38777,33.79226","17335817","L"
"58","1 Philips Dr., ATLANTA, GA, 30303","No_Match"
"138","602 North Highland Ave., ATLANTA, GA, 30307","Match","Non_Exact","602 N HIGHLAND AVE NE, ATLANTA, GA, 30307","-84.35252,33.770752","17357109","L"
"57","1600 Peachtree St. NW, ATLANTA, GA, 30309","No_Match"
"139","175 Laredo Dr., DECATUR, GA, 30030","Match","Exact","175 LAREDO DR, DECATUR, GA, 30030","-84.26843,33.779984","23405146","R"
"56","1060 Delta Blvd., ATLANTA, GA, 30354","Match","Exact","1060 DELTA BLVD, ATLANTA, GA, 30354","-84.42309,33.657867","17349584","L"
"136","5650 Peachtree Pkwy., ATLANTA, GA, 30092","No_Match"
"55","101 East Court Square, DECATUR, GA, 30030","Match","Exact","101 E COURT SQ, DECATUR, GA, 30030","-84.29609,33.77552","624306981","R"
"137","3115 East Shadowlawn Ave., ATLANTA, GA, 30305","Match","Non_Exact","3115 E SHADOWLAWN AVE NE, ATLANTA, GA, 30305","-84.3741,33.840397","17355807","R"
"64","2800 Cobb Galleria Pkwy., ATLANTA, GA, 30339","No_Match"
"65","2000 Airport Rd., ATLANTA, GA, 30341","Match","Exact","2000 AIRPORT RD, ATLANTA, GA, 30341","-84.30397,33.876503","23392656","L"
